Osteomyelitis: Mandible or maxilla (jaw)	9900	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Osteophytic lipping	5099-5242	MUSC Back (thoracolumbar spine/Neck (cervical spine)	Back/Neck	Musculoskeletal (Joints)
Osteoporosis: Generalized	5013	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Osteoporosis: With joint involvement	5013	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Osteotomy, mandibular	9999-9904	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Otitis externa	6210	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Otitis interna	6203	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Otitis media: Catarrhal	6201	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Otitis media: Chronic nonsuppurative (serous otitis media)	6201	ENT Ear conditions	Ear	 
Otitis media: Suppurative	6200	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Otosclerosis	6202	AUDIO Hearing loss & tinnitus	Audio	Organs of Sense (Ear Disease)
Ovary: Atrophy of both, complele	7620	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Ovary: Disease, injury, or adhesions of	7615	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Ovary: Removal of	7619	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Pacemaker, cardiac, implantable	7018	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Paget's disease (osteitis deformans)	5016	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Pain disorder	9422	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Palsy, Bell's	8207	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Palsy, bulbar	8005	NEURO Central nervous system	CNS	Neurologic (Cranial Nerves)
Palsy, facial	8207	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Pancreatitis	7347	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Panic attacks (panic disorder, agoraphobia)	9412	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Pansinusitis	6510	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Papillaedema	6099-6009	OPTO Eye	Eyes	Organs of Sense (Eye)
Papillary necrosis	7538	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Paralysis, nerve: Cranial: Eleventh (spiral accessory, external branch)	8211	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Facial (Seventh)	8210	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Fifth (trigeminal)	8205	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Glossopharyngeal (Ninth)	8209	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Hypoglossal (Twelfth)	8212	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Ninth (glossopharyngeal)	8209	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Pneumogastric, vagus (Tenth )	8210	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Seventh (facial)	8207	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Spinal accessory, external branch (Eleventh)	8211	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Tenth (pneumogastric, vagus)	8210	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Trigeminal (Fifth)	8205	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Cranial: Twelfth (hypoglossal)	8212	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Paralysis, nerve: Peripheral: All radicular groups	8513	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Anterior crural	8526	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Anterior tibial	8523	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Circumflex	8518	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: External cutaneous, thigh	8529	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: External popliteal	8521	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Ilio-inguinal	8530	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Internal popliteal	8524	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Internal saphenous	8527	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Long thoracic	8519	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Lower radicular group	8512	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Median	8515	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Middle radicular group	8511	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Musculocutaneous	8517	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Musculocutaneous (superficial peroneal)	8522	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Musculospiral	8514	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Obturator	8528	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Posterior tibial	8525	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Sciatic	8520	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Ulnar	8516	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis, nerve: Peripheral: Upper radicular group	8510	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Paralysis: Accommodation	6030	OPTO Eye	Eyes	Organs of Sense (Eye)
Paralysis: Agitans	8004	NEURO Parkinson's disease/Central nervous system	Park Ds/CNS	Neurologic (Brain and Spinal Cord)
Paramyoclonus multiplex	8104	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.)
Paraplegia	8099	NEURO Central nervous system/Peripheral nerves	CNS/P Nerves	Neurologic (Brain and Spinal Cord)
Parasitic disease, gastrointestinal	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Parasitic diseases, not otherwise classified	6302	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Parkinson's disease	8004	NEURO Parkinson's disease	Park Ds	Neurologic (Brain and Spinal Cord)
Parkinsonism	8004	NEURO Parkinson's disease	Park Ds	Neurologic (Brain and Spinal Cord)
Paroxysmal atrial tachycardia	7010	CARDIO Heart	Heart	Cardiovascular System (Arrhythmias)
Patellectomy	5299-5259	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Pectus carinatum	6842	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pectus excavatum	6842	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pedis Plani	5276	MUSC Foot Conditions including flatfoot (pes planus)	Flatfoot	Musculoskeletal (Feet)
Pellagra	6315	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Pellegrini-Stieda disease	5299-5255	MUSC Hip & thigh/Knee & lower leg	Hip/Knee	Musculoskeletal (Joints)
Pelvic inflammatory disease (PID)	7614	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Pemphigus	7815	DERM Skin	Skin	Skin (Skin Disease)
Penis: Deformity of	7522	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Penis: Removal of glans	7521	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Penis: Removal of half or more	7520	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Peptic ulcer	7399-7304	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Perforated, eardrum	6211	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Perforation, tympanic membrane	6211	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Perianal vitiligo	7823-7337	GEN SURG Rectum & anus (including hemorrhoids)/DERM Skin	Rectum/Skin	Digestive (Rectum and Anus)
Periarthritis	5003	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Peribronchial fibrosis	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pericardial adhesions	7003	CARDIO Heart	Heart	Cardiovascular System (Heart)
Pericarditis	7002	CARDIO Heart	Heart	Cardiovascular System (Heart)
Periostitis	5022	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Bone Disease/Fractures)
Peripheral arterial occlusive disease	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Peripheral neuropathy	8510 to 8730	NEURO Peripheral nerves/Diabetic sensory-motor peripheral neuropathy	P Nerves/DM PN	Neurologic (Peripheral Nerves)
Peripheral neuropathy (acute and subacute)	8510 to 8730	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Peripheral sclerosis	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Peripheral vascular disease	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Peripheral vascular insufficiency	7199-7114	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Peritendinitis	5099-5020	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Peritoneal adhesions	7301	GI Peritoneal adhesions	GI Adhes	Digestive (Intestines [Large and Small])
Peritonitis, tuberculous	7331	INFECT Tuberculosis	TB	Digestive (Stomach, Duodenum, Peritoneal)
Periurethral abscess	7599-7519	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Pernicious anemia	7722	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Pernicious Anemia (B12)	7722	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Pes cavus	5278	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Pes planus	5276	MUSC Foot Conditions including flatfoot (pes planus)	Flatfoot	Musculoskeletal (Feet)
Pharyngitis	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Pharynx, infected	6599-6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Pharynx, injuries to	6521	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Pheochromocytoma (benign or malignant)	7918	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Phimosis	7599-7522	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Phlebitis	7121	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Phobia, specific (simple)	9403	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Phrenicotomy	5399-5324	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Pilonidal cyst	7804/7805/7819	DERM Skin	Skin	Skin (Skin Disease)
Pilonidal cystectomy	7804	DERM Skin	Skin	Skin (Skin Disease)
Pilonidal sinus	7804	DERM Skin	Skin	Skin (Skin Disease)
Pineloma, malignant	8002	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Pinta	7810	DERM Skin	Skin	Skin (Skin Disease)
Pityriasis rosea	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Plague	6307	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Plantar callosities	7819	DERM Skin	Skin	Skin (Skin Disease)
Plantar fasciitis	5299-5276	MUSC Foot Conditions including flatfoot (pes planus)	Flatfoot	Musculoskeletal (Feet)
Plantar wart	7819	DERM Skin	Skin	Skin (Skin Disease)
Pleural effusion or fibrosis, chronic	6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pleural thickening (adhesions)	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pleurisy, tuberculous	6732	INFECT Tuberculosis	TB	Respiratory (Respiratory Diseases)
Pleurodiaphragmic adhesions	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pluriglandular syndrome	7912	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Pneumococcic arthritis	5005	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Joints)
Pneumoconiosis (silicosis, anthracosis, etc.)	6832	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumonectomy, post-surgical residuals	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumonia	6699	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Pneumonia, pneumocystis carinii	6899-6845	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Pneumonitis: Desquamative interstitial	6826	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumonitis: Diffuse, interstitial	6825	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumonitis: Hypersensitivity ( extrinsic allerginic alveolitis)	6831	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumonitis: Pulmonary, and fibrosis, drug induced	6829	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pneumothorax	6843	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Poliomyelitis, anterior	8011	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Polyarthritis destruans	5099-5002	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Joints)
Polycystic kidney disease	7533	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Polycystic ovary disease	7699	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Polycythemia vera	7704	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Polyneuritis, Guillain-Barre type	8099-8018	AUTO-IMM Systemic lupus erythematosus/NEURO Peripheral nerves/Central nervous system	SLE/P Nerves/CNS	Neurologic (Brain and Spinal Cord)
Polyp: Kidney	7599-7529	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Polyp: Nose	6820	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Polyp: Rectal	7344	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Polyp: Vocal cord	6820	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Portal fibrosis	7399-7312	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Portal hypertension	7101	CARDIO Hypertension	HTN	Cardiovascular System (Hypertension)
Post concussion syndrome	8045	NEURO TBI Initial/Review	TBI-I/TBI-R	Neurologic (Brain and Spinal Cord)
Post gastrectomy syndrome	7308	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Post-Chiasmal Disorders	6046	OPTO Eye	EYES	Organs of Sense (Eye Examination)
Post-phlebitic syndrome, any etiology	7121	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Post-surgical residual (lobectomy, pneumonectomy, etc.)	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Post-traumatic stress disorder	9411	PSYCH PTSD Initial/Review	PTSD-I/PTSD-R	Mental Disorders (PTSD)
Post-traumatic stress disorder, established	9411	PSYCH PTSD Review	PTSD-R	Mental Disorders (PTSD Review)
Pregnancy, surgical complications of	7623	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Presbyopia -Rate on visual acuity	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Primary lateral sclerosis	8099-8017	NEURO Central nervous system/ALS	CNS/ALS	Neurologic (Brain and Spinal Cord)
Proctitis	7399-7332	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Progressive muscular atrophy	8023	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Prolactin secreting pituitary dysfunction	7916	ENDO Endocrine: miscellaneous	Endo	Endocrine (Endocrine Diseases, Misc.)
Prolapse: Rectum	7334	GEN SURG Rectum & anus (including hemorrhoids	Rectum	Digestive (Rectum and Anus)
Prolapse: Uterus	7621	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Prominent veins of calf	7199-7120	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Pronation, limitation of (elbow/forearm)	5213	MUSC Elbow & forearm	Elbow	 
Prostate gland: Adenocarcinoma	7528	GU Prostate cancer	Prostate	Specialist Exams (GU-Urology) --BACK of worksheet
Prostate gland: Calculus	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Prostate gland: Cancer	7528	GU Prostate cancer	Prostate	Specialist Exams (GU-Urology) --BACK of worksheet
Prostate gland: Enlarged	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Prostate gland: Injuries, infections, hypertrophy	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Prostatectomy, post transurethral	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Prostatitis	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Protruded disc	5235 to 5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Pruritis, ani	7337	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Pseudoarthrodesis, ankle	5270	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Pseudofolliculitis barbae	7806	DERM Skin	Skin	Skin (Skin Disease)
Psoriasis	7816	DERM Skin	Skin	Skin (Skin Disease)
Psoriatic arthritis	5009	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Musculoskeletal (Joints) [AND/OR Spine, Hand, or Feet]
Psychotic disorder, not otherwise specified	9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Pterygium	6034	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Ptosis, eyelid	6019	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
PTSD	9411	PSYCH PTSD Initial/Review	PTSD-I/PTSD-R	Mental Disorders (PTSD)
PTSD, established	9411	PSYCH PTSD Review	PTSD-R	Mental Disorders (PTSD Review)
Pulmonary: alveolar proteinosis	6827	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pulmonary: disease, chronic obstructive	6604	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pulmonary: pneumonitis, drug-induced	6829	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pulmonary: pneumonitis, radiation-induced	6830	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Pulmonary: sarcoidosis	6846	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Pulmonary: tuberculosis, active	6730	INFECT Tuberculosis	TB	Respiratory (Pulmonary TB & Mycobactrial Disease)
Pulmonary: tuberculosis, entitled on 08-19-68	6701 to 6724	INFECT Tuberculosis	TB	Respiratory (Pulmonary TB & Mycobactrial Disease)
Pulmonary: tuberculosis, inactive	6731	INFECT Tuberculosis	TB	Respiratory (Pulmonary TB & Mycobactrial Disease)
Pulmonary: vascular disease	6817	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Pyelonephritis, chronic	7504	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Pyloric ulcer	7399-7305	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Pyoderma	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Pyuria	7599-7502	GU Urinary tract (bladder & urethra)	Ur tract	Special Examinations (Genitourinary)
Radiation induced pulmonary pneumonitis and fibrosis	6830	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Radiculitis, cervical	8599-8510	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Radiculopathy, cervical	8599-8510	MUSC Neck (cervical spine)	Neck	Musculoskeletal (Spine)
Radiculopathy, lumbar	8599-8520	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Radius and ulna, nonunion	5210	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Radius, impairment	5212	MUSC Elbow & forearm	Elbow	Musculoskeletal (Bone Disease/Fractures)
Radius, supination and pronation, impairment of	5213	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Ramus, loss of less than one-half the substance of	9907	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Ramus, loss of whole or part	9906	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Raynaud's disease	7117	CARDIO Arteries & veins	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Reactive airway disease	6699-6602	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Rectum and anus: Impairment of sphincter control	7332	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Rectum and anus: Prolapse of	7334	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Rectum and anus: Stricture of	7333	GEN SURG Rectum & anus (including hemorrhoids)	Rectum	Digestive (Rectum and Anus)
Refractive error-Rate on visual acuity	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Reiter's syndrome	7599-5002	MUSC Arthritis: non-degen (inflam, imm, cryst, infect)	Arth	Specialist Exams (Rheumatology)--BACK of worksheet
Relapsing fever	6308	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Removal (see also Surgery): Auricle or deformity	6207	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Removal (see also Surgery): Breast	7626	GYN Breast conditions and disorders	Breast	Special Examinations (Gynecological/Breasts)
Removal (see also Surgery): Cartilage, semilunar	5259	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Removal (see also Surgery): Coccyx	5298	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Removal (see also Surgery): Gall bladder	7318	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Removal (see also Surgery): Kidney	7500	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Removal (see also Surgery): Ovaries, both	7619	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Removal (see also Surgery): Penis, glans	7521	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Removal (see also Surgery): Penis, half or more	7520	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Removal (see also Surgery): Prostate	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Removal (see also Surgery): Ribs	5297	No DBQ available, use Legacy Examination Worksheet	N/A	Musculoskeletal (Bone Disease/Fractures)
Removal (see also Surgery): Semilunar cartilage	5259	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Removal (see also Surgery): Testis	7524	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Removal (see also Surgery): Uterus	7618	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Removal (see also Surgery): Uterus and ovaries	7617	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Renal disease: Amyloid	7539	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Atherosclerotic	7534	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Chronic, requiring dialysis	7530	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Cortical necrosis	7540	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Diabetic	7541	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Glycosuria	7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Involvment in other diseases	7541	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Sickle cell anemia	7541	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Systemic lupus erythematosus	7541	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Tubular acidosis (aminoaciduria)	7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Tubular disorders	7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Renal disease: Vasculitis	7541	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Rendu-Osler-Weber syndrome with GI bleeding	7799	GU Kidney (nephrology)	Kidney	Hemic and Lymphatic (Hemic Disorders)
Replacement: Ankle	5056	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Replacement: Elbow	5052	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Replacement: Heart valve	7016	CARDIO Heart	Heart	Cardiovascular System (Heart)
Replacement: Hip	5254	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Replacement: Knee	5055	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Replacement: Shoulder	5051	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Replacement: Wrist	5053	MUSC Wrist	Wrist	Musculoskeletal (Joints)
Resection: Intestine: Large	7329	GI Intestines (surgical)	GI surg	Digestive (Intestines [Large and Small])
Resection: Intestine: Small	7328	GI Intestines (surgical)	GI surg	Digestive (Intestines [Large and Small])
Resection: Prostate	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
